City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
port alfred,40,ZA,1574006701,80,-33.59,26.89,64,8.01
abu kamal,0,SY,1574006701,19,34.45,40.92,60.22,10.6
arlit,0,NE,1574006701,10,18.74,7.39,94.15,8.19
kapaa,75,US,1574006550,100,22.08,-159.32,75.2,6.93
lodwar,100,KE,1574006702,25,3.12,35.6,93.04,17.72
vao,90,EE,1574006702,86,59.1,26.19,42.71,5.86
ilulissat,81,GL,1574006702,55,69.22,-51.1,11.61,5.73
nanortalik,100,GL,1574006702,79,60.14,-45.24,36.41,37.51
hunterville,87,NZ,1574006702,89,-39.94,175.57,63,5.99
geraldton,90,CA,1574006703,97,49.72,-86.95,33.8,10.29
ust-tsilma,8,RU,1574006703,94,65.44,52.15,18.66,7.18
rikitea,0,PF,1574006703,84,-23.12,-134.97,74.75,9.98
barra do garcas,75,BR,1574006704,69,-15.89,-52.26,80.6,20.8
ushuaia,75,AR,1574006461,76,-54.81,-68.31,48.2,17.22
lebu,95,ET,1574006704,60,8.96,38.73,60.82,3.27
saint-philippe,69,CA,1574006704,45,45.36,-73.48,25,3.36
khatanga,100,RU,1574006704,89,71.98,102.47,-13.2,5.7
east london,75,ZA,1574006704,63,-33.02,27.91,64.4,25.28
diego de almagro,0,CL,1574006705,26,-26.39,-70.05,77.43,9.69
sao joao da barra,75,BR,1574006596,57,-21.64,-41.05,80.6,3.09
abu dhabi,12,AE,1574006649,30,24.47,54.37,82.4,3.36
half moon bay,1,US,1574006705,59,37.46,-122.43,62.6,6.93
busselton,11,AU,1574006705,59,-33.64,115.35,60.01,12.15
aluksne,100,LV,1574006706,97,57.42,27.05,44.15,3.89
kodiak,90,US,1574006706,75,39.95,-94.76,48,9.17
puerto ayora,75,EC,1574006470,69,-0.74,-90.35,75.2,14.99
severo-kurilsk,97,RU,1574006706,80,50.68,156.12,20.26,7.38
porto velho,75,BR,1574006706,88,-8.75,-63.87,82.4,2.24
